课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
五、六年级猿编程L1系统班 第9期（周六晚）	12月22日-4月20日	适合五年级 六年级 | 全国地区通用	1999	25人报名	https://www.yuanfudao.com/lessons/3083786.html	张成巍	https://www.yuanfudao.com/teachers/145862676/lesson?lessonId=3083786
【目标一本班】高二化学春季系统班（选修4·周五21:30）	3月1日-6月14日 · 21:30-23:30	适合高二 | 全国地区通用	499	53人报名  限报2000人	https://www.yuanfudao.com/lessons/3079720.html	张成	https://www.yuanfudao.com/teachers/46929809/lesson?lessonId=3079720
【目标985班】高二化学寒假系统班（选修5+3·寒2期19:00）	1月27日-2月3日 · 19:00-21:00	适合高二 | 全国地区通用	249	2000人报名	https://www.yuanfudao.com/lessons/3079640.html	张鹤至	https://www.yuanfudao.com/teachers/29190893/lesson?lessonId=3079640
【目标卓越班】初二数学寒假系统班（寒2期18:10 ）	1月30日-2月13日 · 18:10-20:30	适合八年级 | 全国地区通用	499	600人报名	https://www.yuanfudao.com/lessons/3080800.html	洪洋	https://www.yuanfudao.com/teachers/36903981/lesson?lessonId=3080800
【数学能力发展班】三年级数学寒假系统班（寒3期18:30）	2月18日-2月24日 · 18:30-20:30	适合三年级 | 全国地区通用	99	已报满或无信息	https://www.yuanfudao.com/lessons/3097708.html	曹霞	https://www.yuanfudao.com/teachers/173685820/lesson?lessonId=3097708
【目标985班】高二物理寒假系统班（寒2期09:00）	1月27日-2月3日 · 早09:00-11:00	适合高二 | 全国地区通用	249	1997人报名	https://www.yuanfudao.com/lessons/3079014.html	王浩	https://www.yuanfudao.com/teachers/23722879/lesson?lessonId=3079014
五、六年级猿编程L1+L2联报（面向第15期入门班）	2月17日-12月1日	适合五年级 六年级 | 全国地区通用	6098	135人报名  限报198人	https://www.yuanfudao.com/lessons/3102302.html	崔丹阳	https://www.yuanfudao.com/teachers/147590008/lesson?lessonId=3102302
【数学能力发展班】四年级数学寒假系统班（寒3期18:30）	2月18日-2月24日 · 18:30-20:30	适合四年级 | 全国地区通用	99	每50人分小班	https://www.yuanfudao.com/lessons/3084520.html	太可欣	https://www.yuanfudao.com/teachers/115002862/lesson?lessonId=3084520
【目标985班】高三化学寒假系统班（寒2期13:00）	1月27日-2月3日 · 13:00-15:00	适合高三 | 全国地区通用	249	1675人报名	https://www.yuanfudao.com/lessons/3079660.html	李霄君	https://www.yuanfudao.com/teachers/16613387/lesson?lessonId=3079660
高三地理寒假系统班（寒2期19:00）	1月27日-2月3日 · 19:00-21:00	适合高三 | 全国地区通用	249	528人报名	https://www.yuanfudao.com/lessons/3079560.html	王伟	https://www.yuanfudao.com/teachers/95334604/lesson?lessonId=3079560
